id;user_id;name;color;percentage;balance;icon;display_order;created_at;updated_at
6d8ee38d-5b01-42b3-83aa-3230cd1692a9;312b498a-bf14-4917-b2a7-378b16a8f63c;Parents;coral;10;1290.40;Heart;5;2025-10-26 17:50:56.852702+00;2026-03-11 16:07:16.786441+00
aaa9b526-17e7-49c3-a7e5-e35394d2ab22;14468972-b3c3-49df-8ba3-74a71d718dde;Needs;royal-blue;40;4000.00;Home;1;2026-02-16 18:43:54.760013+00;2026-02-16 18:44:45.248863+00
a31926dd-6c84-4e13-aea8-c1a22bad5e6f;14468972-b3c3-49df-8ba3-74a71d718dde;Invest;emerald;20;2000.00;TrendingUp;2;2026-02-16 18:43:54.760013+00;2026-02-16 18:44:45.683872+00
a0d95957-91c1-48e5-a9e0-b804e6fb8b5d;14468972-b3c3-49df-8ba3-74a71d718dde;Wants;turmeric;10;1000.00;ShoppingBag;3;2026-02-16 18:43:54.760013+00;2026-02-16 18:44:46.142893+00
0c518800-c470-4b16-a045-d734c7f35178;8daecfb4-fc8f-49b5-bd83-48ae2bf19197;Needs;royal-blue;15;0.00;Home;1;2025-11-19 09:23:33.702+00;2026-03-15 17:19:15.307342+00
3b817719-75a3-4e1c-9a4e-36ab12ed2685;8daecfb4-fc8f-49b5-bd83-48ae2bf19197;Wants;turmeric;10;1000.00;ShoppingBag;3;2025-11-19 09:23:33.702+00;2026-03-15 17:19:15.870322+00
ff786592-421f-484e-9b26-91bd6d69b138;8daecfb4-fc8f-49b5-bd83-48ae2bf19197;Emergency;maroon;10;1000.00;AlertCircle;4;2025-11-19 09:23:33.702+00;2026-03-15 17:19:16.216595+00
def0e46e-2237-4cf8-8653-9259fa708f55;14468972-b3c3-49df-8ba3-74a71d718dde;Emergency;maroon;10;1000.00;AlertCircle;4;2026-02-16 18:43:54.760013+00;2026-02-16 18:44:46.464953+00
778d0c13-b9c4-435c-b1ad-8e6b66562278;14468972-b3c3-49df-8ba3-74a71d718dde;Parents;coral;10;1000.00;Heart;5;2026-02-16 18:43:54.760013+00;2026-02-16 18:44:46.932243+00
1a414203-2dbf-41be-89ef-4d33aec23daf;14468972-b3c3-49df-8ba3-74a71d718dde;Donations;saffron;10;1000.00;Gift;6;2026-02-16 18:43:54.760013+00;2026-02-16 18:44:47.264975+00
6b5fe3d5-76dc-4728-b4ee-328d4f29ddd9;40460e3c-4023-4c94-95ad-a9ce57378c72;Needs;royal-blue;40;938.00;Home;1;2026-03-08 05:25:11.408099+00;2026-03-08 05:25:26.271311+00
d52c805d-6694-4340-9f94-054cb5f392fa;40460e3c-4023-4c94-95ad-a9ce57378c72;Invest;emerald;20;469.00;TrendingUp;2;2026-03-08 05:25:11.408099+00;2026-03-08 05:25:26.569673+00
d5cf2a86-b25e-4a09-b75c-ce8ad15710ff;40460e3c-4023-4c94-95ad-a9ce57378c72;Wants;turmeric;10;234.50;ShoppingBag;3;2026-03-08 05:25:11.408099+00;2026-03-08 05:25:26.856055+00
5706a8ca-0940-4730-919f-4b26a1b326ba;40460e3c-4023-4c94-95ad-a9ce57378c72;Emergency;maroon;10;234.50;AlertCircle;4;2026-03-08 05:25:11.408099+00;2026-03-08 05:25:27.127864+00
02c28a00-ffd6-479c-8768-f802d7169ab7;40460e3c-4023-4c94-95ad-a9ce57378c72;Parents;coral;10;234.50;Heart;5;2026-03-08 05:25:11.408099+00;2026-03-08 05:25:27.411595+00
0fb09073-9d19-42c0-aa42-7fcff85c4a81;929b23e8-96fd-46d1-8c71-619eefee12fd;Needs;royal-blue;40;400000.00;Home;1;2026-03-09 16:30:15.991776+00;2026-03-09 16:30:30.216131+00
27c46a8d-da2b-47ca-96d7-05d90e15cf3b;929b23e8-96fd-46d1-8c71-619eefee12fd;Invest;emerald;20;200000.00;TrendingUp;2;2026-03-09 16:30:15.991776+00;2026-03-09 16:30:30.696089+00
fd37e70f-4d93-4dfd-ad61-3c569adc4cef;40460e3c-4023-4c94-95ad-a9ce57378c72;Donations;saffron;10;234.50;Gift;6;2026-03-08 05:25:11.408099+00;2026-03-08 05:25:27.736374+00
a920ab1e-8a07-45e9-8d87-675fc50da017;929b23e8-96fd-46d1-8c71-619eefee12fd;Wants;turmeric;10;100000.00;ShoppingBag;3;2026-03-09 16:30:15.991776+00;2026-03-09 16:30:31.162192+00
5525b1ac-85e7-4bb1-b137-4d6b5b53c6ad;f8209bb5-9cec-4825-8a67-65c22abb8b67;Needs;royal-blue;40;0.00;Home;1;2026-03-12 04:29:10.273065+00;2026-03-12 04:29:10.273065+00
3379d451-8a2a-4cbc-987e-839bba945f42;929b23e8-96fd-46d1-8c71-619eefee12fd;Emergency;maroon;10;100000.00;AlertCircle;4;2026-03-09 16:30:15.991776+00;2026-03-09 16:30:31.631226+00
6d0d952e-b0de-452d-9cba-9095207e3fef;929b23e8-96fd-46d1-8c71-619eefee12fd;Parents;coral;10;100000.00;Heart;5;2026-03-09 16:30:15.991776+00;2026-03-09 16:30:32.077561+00
755e915e-a362-4df6-bf13-843b9b113894;929b23e8-96fd-46d1-8c71-619eefee12fd;Donations;saffron;10;100000.00;Gift;6;2026-03-09 16:30:15.991776+00;2026-03-09 16:30:32.602795+00
1276123b-ceaf-4b81-9f7f-545760f2a002;312b498a-bf14-4917-b2a7-378b16a8f63c;Invest;emerald;0;0.00;TrendingUp;2;2025-10-26 17:50:56.852702+00;2026-03-11 16:07:15.478984+00
b9b2ca9b-0563-4287-b97c-3f1b1cf3a8d6;2f4caafc-a3a1-4ea5-b3ab-caa08b7d5855;Invest;emerald;20;6000.00;TrendingUp;2;2026-03-11 09:05:41.984556+00;2026-03-11 09:05:54.530764+00
a505fc72-9b3c-4f1d-86a6-8d6c4b058047;2f4caafc-a3a1-4ea5-b3ab-caa08b7d5855;Wants;turmeric;10;3000.00;ShoppingBag;3;2026-03-11 09:05:41.984556+00;2026-03-11 09:05:54.789068+00
4ebcdfb0-2be1-4478-bebd-4455b43f45a0;2f4caafc-a3a1-4ea5-b3ab-caa08b7d5855;Emergency;maroon;10;3000.00;AlertCircle;4;2026-03-11 09:05:41.984556+00;2026-03-11 09:05:55.062858+00
b98dfd98-36a1-4d06-b3cb-387142d8c327;2f4caafc-a3a1-4ea5-b3ab-caa08b7d5855;Parents;coral;10;3000.00;Heart;5;2026-03-11 09:05:41.984556+00;2026-03-11 09:05:55.354493+00
3453b66e-5b5e-4eda-b5d1-f54eb9f72abb;877dab69-621d-44f0-b374-1b2d1a855516;Needs;royal-blue;40;0.00;Home;1;2026-03-11 10:34:01.741567+00;2026-03-11 10:34:01.741567+00
8f539479-5003-4d7b-834f-72d459dca36a;877dab69-621d-44f0-b374-1b2d1a855516;Invest;emerald;20;0.00;TrendingUp;2;2026-03-11 10:34:01.741567+00;2026-03-11 10:34:01.741567+00
bf62371a-7efd-4a85-8203-f8bdf48d4e51;877dab69-621d-44f0-b374-1b2d1a855516;Wants;turmeric;10;0.00;ShoppingBag;3;2026-03-11 10:34:01.741567+00;2026-03-11 10:34:01.741567+00
d520c8b9-6a14-449f-82c1-b2efc1450056;877dab69-621d-44f0-b374-1b2d1a855516;Emergency;maroon;10;0.00;AlertCircle;4;2026-03-11 10:34:01.741567+00;2026-03-11 10:34:01.741567+00
b34aec32-164b-45ef-b115-b7258acfa6e9;877dab69-621d-44f0-b374-1b2d1a855516;Parents;coral;10;0.00;Heart;5;2026-03-11 10:34:01.741567+00;2026-03-11 10:34:01.741567+00
5ad5a7ed-fee7-4875-b92c-b4f9864e9900;877dab69-621d-44f0-b374-1b2d1a855516;Donations;saffron;10;0.00;Gift;6;2026-03-11 10:34:01.741567+00;2026-03-11 10:34:01.741567+00
1bd073de-946e-4f14-8cc3-eb07bbd60012;312b498a-bf14-4917-b2a7-378b16a8f63c;Needs;royal-blue;40;412.70;Home;1;2025-10-26 17:50:56.852702+00;2026-03-11 16:07:15.03074+00
875cdf00-5883-4a3e-bb96-bce85fc67b95;6dbbba41-0964-45a0-a5fb-eb152df74963;Needs;royal-blue;40;4200.00;Home;1;2026-02-15 05:32:45.360731+00;2026-03-15 09:45:42.352401+00
4432b9f4-b8c6-48a6-b116-b96608d3c82f;6dbbba41-0964-45a0-a5fb-eb152df74963;Emergency;maroon;10;1050.00;AlertCircle;4;2026-02-15 05:32:45.360731+00;2026-03-15 09:45:43.252562+00
255e58df-968a-4e0f-be2c-474d4dc51f1e;6dbbba41-0964-45a0-a5fb-eb152df74963;Parents;coral;10;1050.00;Heart;5;2026-02-15 05:32:45.360731+00;2026-03-15 09:45:43.527667+00
488d1aa3-f6b9-4787-98c1-bc095713a99b;6dbbba41-0964-45a0-a5fb-eb152df74963;Donations;saffron;10;1050.00;Gift;6;2026-02-15 05:32:45.360731+00;2026-03-15 09:45:43.791581+00
505ea399-e22f-4a11-87f3-209bc8dee708;8daecfb4-fc8f-49b5-bd83-48ae2bf19197;Invest;emerald;45;2000.00;TrendingUp;2;2025-11-19 09:23:33.702+00;2026-03-15 17:19:15.607442+00
42bf17ae-d780-4b35-86b2-fe2de84968e5;6dbbba41-0964-45a0-a5fb-eb152df74963;Wants;turmeric;10;1050.00;ShoppingBag;3;2026-02-15 05:32:45.360731+00;2026-03-15 09:45:42.994265+00
d39ccf40-1a58-4f42-82b7-433ad63d4716;f8209bb5-9cec-4825-8a67-65c22abb8b67;Invest;emerald;20;0.00;TrendingUp;2;2026-03-12 04:29:10.273065+00;2026-03-12 04:29:10.273065+00
d40dd18c-e58f-4bde-baa9-021be1ee621e;f8209bb5-9cec-4825-8a67-65c22abb8b67;Wants;turmeric;10;0.00;ShoppingBag;3;2026-03-12 04:29:10.273065+00;2026-03-12 04:29:10.273065+00
07aaba41-2242-4e22-9ffc-fa1db582a70a;f8209bb5-9cec-4825-8a67-65c22abb8b67;Emergency;maroon;10;0.00;AlertCircle;4;2026-03-12 04:29:10.273065+00;2026-03-12 04:29:10.273065+00
2464e31e-4bee-47d0-b415-4cba87430d7b;f8209bb5-9cec-4825-8a67-65c22abb8b67;Parents;coral;10;0.00;Heart;5;2026-03-12 04:29:10.273065+00;2026-03-12 04:29:10.273065+00
63a87a09-deb2-448d-b2ba-f5628906cf9e;f8209bb5-9cec-4825-8a67-65c22abb8b67;Donations;saffron;10;0.00;Gift;6;2026-03-12 04:29:10.273065+00;2026-03-12 04:29:10.273065+00
03a0ca1e-98bf-4a41-b708-4448afb643a7;2feb0cfe-94cf-4d92-a125-19a141947ded;Needs;royal-blue;40;0.00;Home;1;2026-03-15 07:53:05.753618+00;2026-03-15 07:53:05.753618+00
9586e5c3-3078-4695-bffb-8f87756cf7b5;2feb0cfe-94cf-4d92-a125-19a141947ded;Invest;emerald;20;0.00;TrendingUp;2;2026-03-15 07:53:05.753618+00;2026-03-15 07:53:05.753618+00
c009bec2-c7fc-47c8-a65b-0990c70f9cea;2feb0cfe-94cf-4d92-a125-19a141947ded;Wants;turmeric;10;0.00;ShoppingBag;3;2026-03-15 07:53:05.753618+00;2026-03-15 07:53:05.753618+00
4ca95ec9-d9e8-4c30-9264-b5ae74478058;2feb0cfe-94cf-4d92-a125-19a141947ded;Emergency;maroon;10;0.00;AlertCircle;4;2026-03-15 07:53:05.753618+00;2026-03-15 07:53:05.753618+00
2513d39f-28a4-4c34-834c-a173dd3f851a;2feb0cfe-94cf-4d92-a125-19a141947ded;Parents;coral;10;0.00;Heart;5;2026-03-15 07:53:05.753618+00;2026-03-15 07:53:05.753618+00
0e5a54f2-7cc0-4e6d-b37e-7ac35d77d30a;2feb0cfe-94cf-4d92-a125-19a141947ded;Donations;saffron;10;0.00;Gift;6;2026-03-15 07:53:05.753618+00;2026-03-15 07:53:05.753618+00
dac6e2be-c7d2-4059-b18b-1fdc6eb4a593;b1c183eb-ec4e-4289-a956-8113777d2c75;Needs;royal-blue;15;1666.65;Home;1;2026-03-12 09:27:46.958295+00;2026-03-12 09:28:48.810929+00
a6d25216-a871-4999-a031-a3daac45b154;c0f4e6c9-4835-42dc-8800-793887a675c0;Needs;royal-blue;40;0.00;Home;1;2026-03-15 10:18:33.732381+00;2026-03-15 10:18:33.732381+00
4461fffa-f5b1-4c23-bab4-85edb3453265;b1c183eb-ec4e-4289-a956-8113777d2c75;Wants;turmeric;35;3888.85;ShoppingBag;3;2026-03-12 09:27:46.958295+00;2026-03-12 09:28:49.427977+00
1fbcc503-5b53-4a66-a17e-7736ac36223b;b1c183eb-ec4e-4289-a956-8113777d2c75;Emergency;maroon;10;1111.10;AlertCircle;4;2026-03-12 09:27:46.958295+00;2026-03-12 09:28:49.673414+00
b6f6d757-af93-4eca-95b6-d3a2f7acc35b;b1c183eb-ec4e-4289-a956-8113777d2c75;Parents;coral;10;1111.10;Heart;5;2026-03-12 09:27:46.958295+00;2026-03-12 09:28:49.899237+00
5f9a6818-e608-4161-9c09-ae8120cde086;b1c183eb-ec4e-4289-a956-8113777d2c75;Donations;saffron;10;1111.10;Gift;6;2026-03-12 09:27:46.958295+00;2026-03-12 09:28:50.152027+00
ea9fdaeb-5d97-4e8e-9417-8a4a4d6cdef6;b1c183eb-ec4e-4289-a956-8113777d2c75;Invest;emerald;20;1111.20;TrendingUp;2;2026-03-12 09:27:46.958295+00;2026-03-12 09:29:01.657501+00
6c6ea453-d570-40ba-9c9d-2f21f6001e89;29a25228-d7ec-4bc3-947b-2dcb03c76792;Needs;royal-blue;40;14000.00;Home;1;2026-03-12 13:31:17.500767+00;2026-03-12 13:31:44.013682+00
48d9f957-b4be-43c2-acd2-17d12e148dd6;29a25228-d7ec-4bc3-947b-2dcb03c76792;Invest;emerald;20;7000.00;TrendingUp;2;2026-03-12 13:31:17.500767+00;2026-03-12 13:31:44.396123+00
f0c3d648-0378-41a9-9726-bd2e5bbc297b;29a25228-d7ec-4bc3-947b-2dcb03c76792;Wants;turmeric;10;3500.00;ShoppingBag;3;2026-03-12 13:31:17.500767+00;2026-03-12 13:31:44.716948+00
ad9d22ec-1682-4b81-8b45-52bb48f57dce;29a25228-d7ec-4bc3-947b-2dcb03c76792;Emergency;maroon;10;3500.00;AlertCircle;4;2026-03-12 13:31:17.500767+00;2026-03-12 13:31:45.023847+00
fa98fc89-15a0-4fbe-9d15-0bfc4a066c80;29a25228-d7ec-4bc3-947b-2dcb03c76792;Parents;coral;10;3500.00;Heart;5;2026-03-12 13:31:17.500767+00;2026-03-12 13:31:45.342395+00
